№,Секунда,Микросекунда
1,43,788011
2,43,798744
3,43,808869
4,43,819181
5,43,829407
6,43,839796
7,43,850265
8,43,860972
9,43,871494
10,43,881992
11,43,892303
12,43,902921
13,43,913467
14,43,923505
15,43,933898
16,43,944225
17,43,954355
18,43,964778
19,43,974997
20,43,985355
21,43,995842
22,44,6273
23,44,16735
24,44,27662
25,44,38106
26,44,48226
27,44,58798
28,44,68886
29,44,78998
30,44,89263
31,44,99661
32,44,110110
33,44,120498
34,44,131016
35,44,141350
36,44,151647
37,44,161945
38,44,172118
39,44,182408
40,44,192964
41,44,203247
42,44,213985
43,44,224171
44,44,234997
45,44,245545
46,44,256108
47,44,266487
48,44,276796
49,44,287009
50,44,297328
51,44,307437
52,44,317713
53,44,327828
54,44,338408
55,44,348981
56,44,359502
57,44,369588
58,44,379968
59,44,390091
60,44,400343
61,44,410797
62,44,421347
63,44,431785
64,44,441875
65,44,452023
66,44,462333
67,44,472400
68,44,482755
69,44,492951
70,44,503112
71,44,513366
72,44,524093
73,44,534375
74,44,544770
75,44,555325
76,44,565797
77,44,575906
78,44,586286
79,44,596642
80,44,606892
81,44,617423
82,44,627524
83,44,637813
84,44,648464
85,44,658756
86,44,669248
87,44,679686
88,44,689794
89,44,700286
90,44,710749
91,44,721194
92,44,731464
93,44,741875
94,44,752034
95,44,762121
96,44,772215
97,44,782434
98,44,792753
99,44,803238
100,44,813645
101,44,823905
102,44,834214
103,44,844386
104,44,854953
105,44,865079
106,44,875272
107,44,885886
108,44,896147
109,44,906240
110,44,916559
111,44,926754
112,44,937052
113,44,947259
114,44,957779
115,44,968337
116,44,978656
117,44,988820
118,44,998947
119,45,9312
120,45,19827
121,45,30055
122,45,40284
123,45,50399
124,45,60926
125,45,71306
126,45,81858
127,45,92314
128,45,102432
129,45,112739
130,45,123331
131,45,133919
132,45,144093
133,45,154550
134,45,165016
135,45,175306
136,45,185428
137,45,196006
138,45,206358
139,45,216841
140,45,226920
141,45,237398
142,45,247634
143,45,257798
144,45,268137
145,45,278395
146,45,288931
147,45,299388
148,45,309648
149,45,320081
150,45,330719
151,45,341281
152,45,351701
153,45,362111
154,45,372656
155,45,383098
156,45,393463
157,45,403779
158,45,414120
159,45,424518
160,45,434935
161,45,445341
162,45,455710
163,45,466094
164,45,476386
165,45,486799
166,45,496991
167,45,507344
168,45,517941
169,45,528350
170,45,538714
171,45,549209
172,45,559425
173,45,569998
174,45,580186
175,45,590643
176,45,601240
177,45,611665
178,45,621851
179,45,632204
180,45,642651
181,45,653023
182,45,663361
183,45,673744
184,45,684017
185,45,694278
186,45,704677
187,45,715150
188,45,725794
189,45,736106
190,45,746360
191,45,756896
192,45,767303
193,45,777728
194,45,788257
195,45,798669
196,45,809520
197,45,819872
198,45,830405
199,45,840799
200,45,851202
201,45,861623
202,45,872023
203,45,882392
204,45,892919
205,45,903438
206,45,913809
207,45,924142
208,45,934810
209,45,945348
210,45,955675
211,45,966056
212,45,976340
213,45,987171
214,45,997651
215,46,8170
216,46,18480
217,46,28958
218,46,39723
219,46,50024
220,46,60505
221,46,70988
222,46,81234
223,46,91847
224,46,102209
225,46,112512
226,46,123213
227,46,133647
228,46,143899
229,46,154348
230,46,164799
231,46,175059
232,46,185672
233,46,196069
234,46,206424
235,46,216759
236,46,227003
237,46,237479
238,46,248032
239,46,258820
240,46,268964
241,46,279245
242,46,289462
243,46,299700
244,46,310509
245,46,320742
246,46,331374
247,46,341682
248,46,352059
249,46,362395
250,46,372631
251,46,382991
252,46,393150
253,46,403336
254,46,413620
255,46,424025
256,46,434388
257,46,444945
258,46,455407
259,46,466109
260,46,476434
261,46,486875
262,46,497383
263,46,507718
264,46,518127
265,46,528469
266,46,538952
267,46,549123
268,46,559710
269,46,570325
270,46,580681
271,46,591078
272,46,601299
273,46,611875
274,46,622173
275,46,632373
276,46,642797
277,46,653532
278,46,663870
279,46,674183
280,46,684635
281,46,694895
282,46,705485
283,46,716132
284,46,726442
285,46,736794
286,46,747300
287,46,757447
288,46,768171
289,46,778846
290,46,789460
291,46,799901
292,46,810166
293,46,820598
294,46,831250
295,46,841768
296,46,852027
297,46,862309
298,46,872939
299,46,883363
300,46,893875
